SpeciesID,Number-of-observed-plant-interactions,Number-of-possible-plant-interactions,Number-of-estimated-plant-interactions,Lower-95%-CI,Upper-95%-CI
Andrena angustitarsata,0,125,0,0,0
Andrena anisochlora,0,117,0,0,0
Andrena auricoma,2,122,7.666666667,2.05,17.25
Andrena baeriae,0,102,0,0,0
Andrena caerulea,0,125,0.666666667,0,1.9
Andrena candida,0,125,6.333333333,0,18.05
Andrena chlorogaster,0,122,6.333333333,0,18.05
Andrena chlorura,0,122,0.666666667,0,1.9
Andrena duboisi,0,102,0,0,0
Andrena gnaphalii,0,102,0,0,0
Andrena hypoleuca,0,125,0.333333333,0,0.95
Andrena nigripes,1,102,3,1,6.7
Andrena nigrocaerulea,1,125,17.66666667,1,48.5
Andrena oenotherae,0,125,0,0,0
Andrena pallidifovea,0,122,0.333333333,0,0.95
Andrena perimelas,0,117,0.333333333,0,0.95
Andrena piperi,0,117,0,0,0
Andrena plana,1,117,3,1,6.7
Andrena principalis,0,122,0,0,0
Andrena prunorum,0,122,1.333333333,0,3.8
Andrena sola,0,117,0.333333333,0,0.95
Andrena suavis,0,122,0.333333333,0,0.95
Andrena subaustralis,0,117,0.333333333,0,0.95
Andrena submoesta,0,117,0,0,0
Andrena subtilis,0,117,0.666666667,0,1.9
Andrena vandykei,0,124,0,0,0
Pseudopanurgus californicus,0,120,0,0,0
Panurginus armaticeps,0,102,0,0,0
Panurginus gracilis,0,102,0,0,0
Panurginus melanocephalus,0,102,0,0,0
Perdita layiae,0,102,0,0,0
Anthophora californica,5,125,16.33333333,5.1,35.5
Anthophora edwardsii,0,125,0,0,0
Anthophora urbana,6,125,50.66666667,8.3,108.05
Bombus californicus,7,125,117.6666667,104.1,125
Bombus crotchii,7,125,109.3333333,81.25,124.95
Bombus melanopygus,10,125,80.66666667,35.55,122.95
Bombus occidentalis,0,125,48.33333333,1.95,118.8
Bombus vosnesenskii,14,125,109.3333333,87.6,123.7
Ceratina acantha,2,125,6,2,13.4
Ceratina nanula,0,125,0.666666667,0,1.9
Diadasia australis,0,125,0,0,0
Diadasia bituberculata,2,125,42,3.6,87.2
Diadasia nigrifrons,0,117,0.333333333,0,0.95
Diadasia nitidifrons,0,125,0,0,0
Diadasia ochracea,0,125,0,0,0
Diadasia rinconis,1,125,6.333333333,1,16.2
Epeolus minimus,1,123,0,0,0
Eucera actuosa,0,117,0.666666667,0,1.9
Eucera amsinckiae,0,117,0,0,0
Eucera edwardsii,0,117,1,0,2.85
Eucera frater,0,81,0,0,0
Eucera lunata,1,117,10,1,26.65
Anthophorula cerei,0,115,1,0,2.85
Habropoda depressa,2,117,39.66666667,2.85,94.05
Habropoda miserabilis,0,122,13.33333333,0,38
Melecta separata,0,81,0,0,0
Melissodes lupinus,0,125,0,0,0
Melissodes lustrus,0,41,0,0,0
Melissodes stearnsi,0,125,0.333333333,0,0.95
Melissodes tepidus,0,123,3,0,8.55
Nomada edwardsii,0,117,0,0,0
Nomada formula,0,104,0.333333333,0,0.95
Nomada hesperia,0,122,0.333333333,0,0.95
Nomada semisuavis,0,0,0,0,0
Nomada suavis,0,125,2.333333333,0,6.65
Triepeolus utahensis,0,104,0.333333333,0,0.95
Brachymelecta californica,1,125,0,0,0
Colletes hyalinus,0,125,0,0,0
Colletes kincaidii,0,125,0,0,0
Colletes slevini,0,125,0,0,0
Hylaeus mesillae,1,125,0.333333333,0,0.95
Hylaeus polifolii,1,125,0,0,0
Hylaeus rudbeckiae,0,125,0,0,0
Agapostemon texanus,16,125,31,15.25,56.1
Augochlorella pomoniella,12,125,32,12.4,61.8
Halictus farinosus,10,125,35.66666667,10.65,71.45
Halictus harmonius,0,123,0.333333333,0,0.95
Halictus ligatus,9,125,17.66666667,8.1,33.75
Halictus rubicundus,0,125,1,0,2.85
Halictus tripartitus,19,125,34.66666667,16.3,63.8
Lasioglossum albohirtum,0,100,0,0,0
Lasioglossum argemonis,0,104,0,0,0
Lasioglossum avalonense,0,125,0,0,0
Lasioglossum brunneiventre,0,125,0,0,0
Lasioglossum cabrilli,0,125,4,0,11.4
Lasioglossum californiae,0,81,0,0,0
Lasioglossum channelense,0,125,0,0,0
Lasioglossum diversopunctatum,0,125,0,0,0
Lasioglossum hammondi,0,125,0,0,0
Lasioglossum hyalinum,0,125,0,0,0
Lasioglossum incompletum,0,125,0,0,0
Lasioglossum kincaidii,0,125,0.333333333,0,0.95
Lasioglossum mellipes,0,125,0,0,0
Lasioglossum microlepoides,0,125,0,0,0
Lasioglossum miguelense,0,102,0,0,0
Lasioglossum nevadense,0,125,4.666666667,0,13.3
Lasioglossum nigrescens,0,96,0,0,0
Lasioglossum ovaliceps,1,122,5,1,12.4
Lasioglossum perichlarus,0,115,0,0,0
Lasioglossum punctatoventre,0,117,0,0,0
Lasioglossum tegulare,0,122,0,0,0
Lasioglossum titusi,0,125,0,0,0
Anthidium collectum,0,125,0,0,0
Anthidium illustre,0,122,0.666666667,0,1.9
Anthidium maculosum,4,125,10.33333333,2.05,24.85
Ashmeadiella cactorum,0,125,0,0,0
Ashmeadiella chumashae,0,100,0,0,0
Ashmeadiella cubiceps,0,125,0,0,0
Ashmeadiella opuntiae,0,125,0,0,0
Ashmeadiella timberlakei,0,125,0.333333333,0,0.95
Ashmeadiella xenomastax,0,122,0,0,0
Atoposmia copelandica,0,81,0,0,0
Coelioxys octodentatus,0,123,0,0,0
Dioxys productus,0,0,0,0,0
Megachile angelarum,0,125,0,0,0
Megachile apicalis,0,125,0,0,0
Megachile brevis,0,125,0,0,0
Megachile coquilletti,0,125,0.333333333,0,0.95
Megachile fidelis,0,123,0.666666667,0,1.9
Megachile montivaga,0,125,0,0,0
Megachile onobrychidis,0,125,0.666666667,0,1.9
Megachile rotundata,0,125,0,0,0
Osmia albolateralis,0,125,1,0,2.85
Osmia austromaritima,0,81,0,0,0
Osmia bruneri,0,125,0,0,0
Osmia californica,0,122,0,0,0
Osmia calla,0,125,0.666666667,0,1.9
Osmia clarescens,0,117,0.333333333,0,0.95
Osmia coloradensis,1,125,3.333333333,1,7.65
Osmia gabrielis,0,124,1.666666667,0,4.75
Osmia gaudiosa,0,125,0,0,0
Osmia kincaidii,0,122,0,0,0
Osmia laeta,0,122,0,0,0
Osmia nemoris,0,125,2.333333333,0,6.65
Osmia tristella,0,125,0.666666667,0,1.9
Protosmia rubifloris,0,122,0,0,0