"","genus_species","match","grep"
"1257","Oxalis albicans",0,0
"1258","Oxalis albicans",0,0
"1259","Oxalis californica",0,0
"1260","Oxalis corniculata",1,1
"1262","Oxalis pes-caprae",1,1
"1263","Oxalis pilosa",0,0
"1264","Dendromecon harfordii",0,0
"1266","Dendromecon harfordii",0,0
"1267","Dendromecon rigida",0,0
"1268","Dendromecon rigida",0,0
"1269","Eschscholzia",0,1
"1270","Eschscholzia californica",1,1
"1271","Eschscholzia californica",1,1
"1273","Eschscholzia californica",1,1
"1274","Eschscholzia californica",1,1
"1276","Eschscholzia ramosa",0,0
"1278","Meconella denticulata",0,0
"1279","Papaver californicum",0,0
"1280","Papaver somniferum",0,0
"1281","Platystemon californicus",0,0
"1282","Platystemon californicus",0,0
"1283","Platystemon californicus",0,0
"1284","Stylomecon heterophylla",0,0
"1286","Diplacus aurantiacus",0,0
"1287","Diplacus latifolius",0,0
"1288","Diplacus longiflorus",0,0
"1290","Diplacus parviflorus",0,0
"1291","Erythranthe cardinalis",0,0
"1295","Mimulus",0,1
"1296","Mimulus aurantiacus",0,0
"1297","Mimulus aurantiacus",0,0
"1301","Mimulus cardinalis",0,0
"1302","Mimulus flemingii",0,0
"1303","Mimulus guttatus",0,0
"1305","Mimulus guttatus",0,0
"1306","Mimulus guttatus",0,0
"1307","Mimulus latifolius",0,0
"1308","Mimulus longiflorus",0,0
"1309","Mimulus nasutus",0,0
"1310","Mimulus parviflorus",0,0
"1313","Mimulus cardinalis",0,0
"1314","Mimulus guttatus",0,0
"1315","Pinus",0,0
"1316","Pinus muricata",0,0
"1317","Pinus muricata",0,0
"1318","Pinus muricata",0,0
"1319","Pinus muricata",0,0
"1320","Pinus pinea",0,0
"1321","Pinus radiata",0,0
"1322","Pinus remorata",0,0
"1323","Pinus remorata",0,0
"1326","Antirrhinum kelloggii",0,0
"1327","Antirrhinum multiflorum",0,0
"1328","Antirrhinum nuttallianum",0,0
"1329","Antirrhinum nuttallianum",0,0
"1330","Antirrhinum nuttallianum",0,0
"1332","Keckiella",0,0
"1333","Keckiella cordifolia",0,0
"1334","Linaria canadensis",0,0
"1335","Nuttallanthus canadensis",0,0
"1336","Nuttallanthus texanus",0,0
"1337","Penstemon cordifolius",0,0
"1338","Plantago",0,1
"1339","Plantago bigelovii",0,0
"1340","Plantago erecta",0,0
"1342","Plantago hirtella",0,0
"1343","Plantago insularis",0,0
"1344","Plantago lanceolata",0,0
"1345","Plantago major",1,1
"1347","Plantago subnuda",0,0
"1348","Veronica anagallis-aquatica",0,0
"1349","Veronica catenata",0,0
"1350","Platanus racemosa",0,0
"1351","Achnatherum diegoense",0,0
"1352","Aegilops cylindrica",0,0
"1353","Agrostis",0,0
"1354","Agrostis diegoensis",0,0
"1355","Agrostis exarata",0,0
"1356","Agrostis pallens",0,0
"1357","Agrostis semiverticillata",0,0
"1358","Agrostis viridis",0,0
"1359","Ammophila arenaria",0,0
"1360","Andropogon glomeratus",0,0
"1361","Andropogon glomeratus",0,0
"1362","Andropogon glomeratus",0,0
"1363","Aristida",0,0
"1364","Aristida adscensionis",0,0
"1365","Aristida divaricata",0,0
"1366","Aristida hamulosa",0,0
"1367","Aristida purpurea",0,0
"1368","Aristida repens",0,0
"1369","Aristida ternipes",0,0
"1370","Aristida ternipes",0,0
"1371","Aristida ternipes",0,0
"1372","Arundo donax",0,0
"1373","Avena barbata",0,0
"1374","Avena fatua",0,0
"1375","Avena sativa",0,0
"1376","Bouteloua disticha",0,0
"1377","Bouteloua reflexa",0,0
"1378","Brachypodium",0,0
"1379","Brachypodium distachyon",0,0
"1381","Bromus",0,0
"1382","Bromus arizonicus",0,0
"1383","Bromus berteroanus",0,0
"1384","Bromus carinatus",0,0
"1385","Bromus carinatus",0,0
"1386","Bromus carinatus",0,0
"1387","Bromus catharticus",0,0
"1388","Bromus catharticus",0,0
"1390","Bromus diandrus",0,0
"1391","Bromus hordeaceus",0,0
"1392","Bromus laevipes",0,0
"1393","Bromus madritensis",0,0
"1395","Bromus madritensis",0,0
"1396","Bromus marginatus",0,0
"1397","Bromus maritimus",0,0
"1398","Bromus mollis",0,0
"1399","Bromus pseudolaevipes",0,0
"1400","Bromus rigidus",0,0
"1401","Bromus rubens",0,0
"1402","Bromus sitchensis",0,0
"1403","Bromus stamineus",0,0
"1404","Bromus sterilis",0,0
"1405","Bromus trinii",0,0
"1406","Calamagrostis",0,0
"1407","Calamagrostis rubescens",0,0
"1408","Cenchrus clandestinus",0,0
"1409","Cortaderia selloana",0,0
"1410","Cynodon dactylon",0,0
"1411","Dactylis glomerata",0,0
"1412","Digitaria horizontalis",0,0
"1413","Distichlis spicata",0,0
"1414","Distichlis spicata",0,0
"1415","Distichlis spicata",0,0
"1416","Echinochloa crus-galli",0,0
"1417","Ehrharta",0,0
"1418","Ehrharta erecta",0,0
"1419","Elymus",0,0
"1420","Elymus condensatus",0,0
"1421","Elymus glaucus",0,0
"1422","Elymus glaucus",0,0
"1423","Elymus triticoides",0,0
"1424","Elymus triticoides",0,0
"1425","Elymus triticoides",0,0
"1427","Festuca",0,0
"1428","Festuca arundinacea",0,0
"1429","Festuca bromoides",0,0
"1430","Festuca dertonensis",0,0
"1431","Festuca megalura",0,0
"1432","Festuca microstachys",0,0
"1433","Festuca myuros",0,0
"1434","Festuca octoflora",0,0
"1435","Festuca octoflora",0,0
"1438","Gastridium",0,0
"1439","Gastridium phleoides",0,0
"1440","Gastridium ventricosum",0,0
"1441","Hainardia cylindrica",0,0
"1442","Hordeum",0,0
"1443","Hordeum brachyantherum",0,0
"1444","Hordeum brachyantherum",0,0
"1445","Hordeum californicum",0,0
"1446","Hordeum depressum",0,0
"1447","Hordeum glaucum",0,0
"1448","Hordeum intercedens",0,0
"1449","Hordeum leporinum",0,0
"1450","Hordeum marinum",0,0
"1451","Hordeum marinum",0,0
"1452","Hordeum murinum",0,0
"1453","Hordeum murinum",0,0
"1454","Hordeum murinum",0,0
"1455","Hordeum pusillum",0,0
"1456","Hordeum vulgare",0,0
"1457","Koeleria",0,0
"1458","Koeleria gerardii",0,0
"1459","Koeleria macrantha",0,0
"1460","Koeleria phleoides",0,0
"1461","Koeleria pyramidata",0,0
"1462","Lamarckia aurea",0,0
"1463","Leymus condensatus",0,0
"1464","Leymus triticoides",0,0
"1465","Lolium",0,0
"1466","Lolium multiflorum",0,0
"1467","Lolium perenne",0,0
"1468","Lolium perenne",0,0
"1469","Lolium perenne",0,0
"1470","Lolium rigidum",0,0
"1471","Lolium temulentum",0,0
"1472","Melica",0,0
"1473","Melica imperfecta",0,0
"1474","Melica imperfecta",0,0
"1475","Muhlenbergia",0,0
"1476","Muhlenbergia microsperma",0,0
"1477","Nassella cernua",0,0
"1478","Nassella lepida",0,0
"1479","Nassella pulchra",0,0
"1480","Oryzopsis miliacea",0,0
"1481","Panicum dichotomiflorum",0,0
"1482","Parapholis incurva",0,0
"1483","Paspalum",0,0
"1484","Paspalum conjugatum",0,0
"1485","Paspalum distichum",0,0
"1486","Pennisetum clandestinum",0,0
"1487","Phalaris",0,0
"1488","Phalaris aquatica",0,0
"1489","Phalaris caroliniana",0,0
"1490","Phalaris minor",0,0
"1491","Phalaris paradoxa",0,0
"1492","Piptatherum miliaceum",0,0
"1493","Piptatherum miliaceum",0,0
"1494","Poa",0,1
"1495","Poa annua",0,0
"1496","Poa bolanderi",0,0
"1497","Poa infirma",0,0
"1498","Poa nevadensis",0,0
"1499","Poa scabrella",0,0
"1500","Poa secunda",0,0
"1501","Poa secunda",0,0
"1502","Polypogon",0,0
"1503","Polypogon interruptus",0,0
"1504","Polypogon monspeliensis",0,0
"1505","Polypogon semiverticillatus",0,0
"1506","Polypogon viridis",0,0
"1507","Schedonorus arundinaceus",0,0
"1508","Schedonorus pratensis",0,0
"1509","Schismus",0,0
"1510","Schismus arabicus",0,0
"1511","Schismus barbatus",0,0
"1512","Setaria setosa",0,0
"1513","Sporobolus virginicus",0,0
"1514","Stipa",0,0
"1515","Stipa cernua",0,0
"1516","Stipa coronata",0,0
"1517","Stipa diegoensis",0,0
"1518","Stipa lepida",0,0
"1519","Stipa lepida",0,0
"1520","Stipa lepida",0,0
"1521","Stipa miliacea",0,0
"1523","Stipa pulchra",0,0
"1525","Urochloa fusca",0,0
"1526","Urochloa mutica",0,0
"1527","Vulpia",0,0
"1528","Vulpia bromoides",0,0
"1529","Vulpia dertonensis",0,0
"1530","Vulpia microstachys",0,0
"1531","Vulpia microstachys",0,0
"1532","Vulpia microstachys",0,0
"1533","Vulpia myuros",0,0
"1534","Vulpia myuros",0,0
"1535","Vulpia myuros",0,0
"1536","Vulpia myuros",0,0
"1537","Vulpia octoflora",0,0
"1538","Vulpia octoflora",0,0
"1539","Vulpia octoflora",0,0
"1540","Zea mays",1,1
"1541","Hordeum intercedens",0,0
"1542","Eriastrum filifolium",0,0
"1543","Gilia",0,0
"1544","Gilia achilleifolia",0,0
"1545","Gilia angelensis",0,0
"1546","Gilia capitata",0,0
"1547","Gilia capitata",0,0
"1548","Gilia clivorum",0,0
"1549","Gilia nevinii",0,0
"1550","Gilia tricolor",0,0
"1551","Leptosiphon androsaceus",0,0
"1552","Leptosiphon bicolor",0,0
"1553","Leptosiphon parviflorus",0,0
"1554","Linanthus dianthiflorus",0,0
"1555","Linanthus dianthiflorus",0,0
"1556","Linanthus parviflorus",0,0
"1557","Navarretia atractyloides",0,0
"1558","Navarretia hamata",0,0
"1559","Navarretia squarrosa",0,0
"1560","Polygala californica",0,0
"1561","Chorizanthe",0,0
"1563","Chorizanthe staticoides",0,0
"1564","Chorizanthe wheeleri",0,0
"1567","Eriogonum arborescens",0,0
"1569","Eriogonum giganteum",0,0
"1570","Eriogonum giganteum",0,0
"1571","Eriogonum grande",0,0
"1572","Eriogonum grande",0,0
"1573","Eriogonum grande",0,0
"1574","Eriogonum grande",0,0
"1575","Eriogonum latifolium",0,0
"1576","Eriogonum X blissianum",0,0
"1577","Lastarriaea coriacea",0,0
"1578","Persicaria lapathifolia",0,0
"1579","Polygonum",0,1
"1580","Polygonum arenastrum",1,1
"1581","Polygonum argyrocoleon",0,0
"1582","Polygonum aviculare",0,0
"1583","Polygonum aviculare",0,0
"1584","Polygonum aviculare",0,0
"1585","Polygonum lapathifolium",0,0
"1586","Pterostegia drymarioides",0,0
"1587","Rumex",0,0
"1588","Rumex acetosella",0,0
"1589","Rumex angiocarpus",0,0
"1590","Rumex conglomeratus",0,0
"1591","Rumex crispus",0,0
"1592","Rumex pulcher",0,0
"1593","Rumex salicifolius",0,0
"1594","Rumex salicifolius",0,0
"1595","Polypodium californicum",0,0
"1597","Polypodium calirhiza",0,0
"1598","Polypodium scouleri",0,0
"1599","Calandrinia breweri",0,0
"1600","Calandrinia ciliata",0,0
"1601","Calandrinia ciliata",0,0
"1602","Calandrinia maritima",0,0
"1604","Cistanthe maritima",0,0
"1605","Claytonia perfoliata",0,0
"1606","Claytonia perfoliata",0,0
"1607","Claytonia perfoliata",0,0
"1608","Portulaca oleracea",1,1
"1609","Potamogeton pectinatus",0,0
"1610","Ruppia maritima",0,0
"1611","Stuckenia pectinata",0,0
"1612","Zannichellia palustris",0,0
"1613","Anagallis arvensis",0,0
"1614","Centunculus minimus",0,0
"1616","Dodecatheon clevelandii",0,0
"1617","Dodecatheon clevelandii",0,0
"1619","Primula",0,1
"1621","Primula clevelandii",0,0
"1622","Samolus parviflorus",0,0
"1623","Adiantum aleuticum",0,0
"1624","Adiantum capillus-veneris",0,0
"1626","Adiantum jordanii",0,0
"1627","Adiantum pedatum",0,0
"1628","Adiantum pedatum",0,0
"1629","Aspidotis californica",0,0
"1630","Cheilanthes clevelandii",0,0
"1635","Notholaena californica",0,0
"1636","Pellaea andromedifolia",0,0
"1638","Pellaea mucronata",0,0
"1639","Pellaea mucronata",0,0
"1640","Pellaea mucronata",0,0
"1641","Pentagramma",0,0
"1642","Pentagramma triangularis",0,0
"1643","Pentagramma triangularis",0,0
"1644","Pentagramma triangularis",0,0
"1645","Pentagramma triangularis",0,0
"1646","Pentagramma triangularis",0,0
"1648","Pityrogramma triangularis",0,0
"1650","Pityrogramma triangularis",0,0
"1651","Pityrogramma triangularis",0,0
"1652","Pityrogramma viscosa",0,0
"1653","Ramalina menziesii",0,0
"1655","Clematis",0,1
"1657","Clematis lasiantha",0,0
"1658","Clematis ligusticifolia",0,0
"1659","Clematis pauciflora",0,0
"1660","Delphinium",0,1
"1661","Delphinium parryi",0,0
"1662","Delphinium parryi",0,0
"1663","Delphinium parryi",0,0
"1664","Ranunculus californicus",0,0
"1665","Ranunculus californicus",0,0
"1666","Ranunculus californicus",0,0
"1667","Ranunculus hebecarpus",0,0
"1668","Oligomeris",0,0
"1669","Oligomeris linifolia",0,0
"1670","Ceanothus arboreus",0,0
"1673","Ceanothus cuneatus",1,1
"1674","Ceanothus insularis",0,0
"1675","Ceanothus megacarpus",0,0
"1676","Ceanothus megacarpus",0,0
"1677","Ceanothus megacarpus",0,0
"1678","Ceanothus megacarpus",0,0
"1679","Ceanothus megacarpus",0,0
"1680","Frangula californica",1,1
"1681","Frangula californica",1,1
"1682","Frangula californica",1,1
"1683","Rhamnus californica",1,1
"1684","Rhamnus pirifolia",0,0
"1685","Rhamnus tomentella",0,0
"1686","Rubus ursinus",1,1
"1687","Adenostoma fasciculatum",0,0
"1688","Adenostoma fasciculatum",0,0
"1689","Adenostoma fasciculatum",0,0
"1690","Alchemilla",0,0
"1691","Alchemilla occidentalis",0,0
"1692","Aphanes",0,0
"1693","Aphanes arvensis",0,0
"1695","Aphanes occidentalis",0,0
"1696","Cercocarpus",0,0
"1697","Cercocarpus betulifolius",0,0
"1698","Cercocarpus betuloides",0,0
"1699","Cercocarpus betuloides",0,0
"1700","Cercocarpus betuloides",0,0
"1701","Cercocarpus betuloides",0,0
"1702","Cercocarpus betuloides",0,0
"1703","Fragaria",0,1
"1704","Heteromeles",0,1
"1705","Heteromeles arbutifolia",1,1
"1706","Holodiscus discolor",1,1
"1707","Holodiscus discolor",1,1
"1709","Lyonothamnus aspleniifolius",0,0
"1710","Lyonothamnus floribundus",0,0
"1713","Lyonothamnus floribundus",0,0
"1714","Lyonothamnus floribundus",0,0
"1715","Photinia arbutifolia",0,0
"1716","Potentilla anserina",1,1
"1718","Prunus",0,1
"1719","Prunus ilicifolia",1,1
"1720","Prunus ilicifolia",1,1
"1721","Prunus lyonii",0,0
"1722","Rosa",0,1
"1723","Rosa californica",1,1
"1724","Rubus ursinus",1,1
"1725","Rubus vitifolius",0,0
"1726","Galium",0,1
"1727","Galium angustifolium",0,0
"1728","Galium angustifolium",0,0
"1729","Galium angustifolium",0,0
"1730","Galium angustifolium",0,0
"1731","Galium aparine",1,1
"1732","Galium californicum",0,0
"1733","Galium californicum",0,0
"1734","Galium nuttallii",0,0
"1735","Galium nuttallii",0,0
"1738","Galium parisiense",0,0
"1739","Galium porrigens",0,0
"1740","Galium porrigens",0,0
"1741","Lonicera hispidula",0,0
"1742","Lonicera hispidula",0,0
"1743","Ruppia",0,0
"1744","Ruppia maritima",0,0
"1745","Ruta graveolens",0,0
"1746","Populus balsamifera",0,0
"1747","Populus fremontii",0,0
"1748","Populus fremontii",0,0
"1749","Populus trichocarpa",0,0
"1751","Salix",0,1
"1752","Salix bonplandiana",0,0
"1753","Salix exigua",0,0
"1754","Salix hindsiana",0,0
"1755","Salix laevigata",0,0
"1757","Salix lasiandra",0,0
"1758","Salix lasiolepis",0,0
"1759","Salix lasiolepis",0,0
"1760","Salix lasiolepis",0,0
"1761","Salix lucida",0,0
"1762","Acer macrophyllum",0,0
"1763","Cardiospermum corindum",0,0
"1764","Anemopsis californica",0,0
"1765","Heuchera abramsii",0,0
"1766","Jepsonia malvifolia",0,0
"1767","Lithophragma",0,0
"1768","Lithophragma cymbalaria",0,0
"1769","Micranthes californica",0,0
"1770","Saxifraga",0,0
"1771","Saxifraga californica",0,0
"1774","Nuttallanthus texanus",0,0
"1775","Castilleja",0,1
"1776","Castilleja affinis",0,0
"1777","Castilleja affinis",0,0
"1778","Castilleja densiflora",0,0
"1779","Castilleja exserta",0,0
"1781","Diplacus longiflorus",0,0
"1782","Diplacus parviflorus",0,0
"1784","Keckiella cordifolia",0,0
"1785","Linaria canadensis",0,0
"1788","Mimulus flemingii",0,0
"1789","Myoporum laetum",0,0
"1790","Verbascum thapsus",1,1
"1791","Selaginella bigelovii",0,0
"1792","Solanum wallacei",0,0
"1793","Datura meteloides",0,0
"1794","Datura wrightii",1,1
"1795","Lycium californicum",0,0
"1796","Lycopersicon esculentum",0,0
"1797","Nicotiana",0,0
"1798","Nicotiana clevelandii",0,0
"1799","Nicotiana glauca",0,0
"1800","Physalis philadelphica",0,0
"1801","Solanum americanum",1,1
"1803","Solanum cheesmaniae",0,0
"1804","Solanum clokeyi",0,0
"1805","Solanum douglasii",0,0
"1806","Solanum elaeagnifolium",0,0
"1807","Solanum pimpinellifolium",0,0
"1808","Solanum umbelliferum",0,0
"1809","Solanum wallacei",0,0
"1810","Solanum wallacei",0,0
"1811","Solanum wallacei",0,0
"1812","Solanum xanti",0,0
"1813","Solanum xanti",0,0
"1814","Tamarix",0,1
"1815","Tamarix ramosissima",0,0
"1816","Bloomeria",0,0
"1817","Bloomeria crocea",0,0
"1818","Bloomeria crocea",0,0
"1819","Bloomeria crocea",0,0
"1820","Brodiaea jolonensis",0,0
"1821","Dichelostemma capitatum",0,0
"1822","Dichelostemma capitatum",0,0
"1825","Typha",0,0
"1826","Typha angustifolia",0,0
"1827","Typha domingensis",0,0
"1828","Typha latifolia",0,0
"1829","Ulmus minor",0,0
"1830","Ulmus procera",0,0
"1831","Ulmus thomasii",0,0
"1832","Hesperocnide tenella",0,0
"1833","Parietaria",0,0
"1834","Parietaria floridana",0,0
"1835","Parietaria hespera",0,0
"1836","Parietaria hespera",0,0
"1837","Parietaria hespera",0,0
"1838","Urtica dioica",0,0
"1839","Urtica dioica",0,0
"1840","Urtica dioica",0,0
"1841","Urtica gracilis",0,0
"1842","Urtica holosericea",0,0
"1843","Urtica urens",0,0
"1844","Centranthus ruber",0,0
"1845","Lippia nodiflora",0,0
"1846","Phyla nodiflora",1,1
"1847","Verbena",0,1
"1848","Verbena lasiostachys",0,0
"1849","Verbena lasiostachys",0,0
"1850","Verbena lasiostachys",0,0
"1851","Verbena robusta",0,0
"1852","Viola pedunculata",0,0
"1854","Vitis",0,1
"1855","Vitis vinifera",0,0
"1856","Athyrium filix-femina",0,0
"1857","Athyrium filix-femina",0,0
"1858","Athyrium filix-femina",0,0
"1859","Athyrium filix-femina",0,0
"1860","Cystopteris fragilis",0,0
"1861","Zannichellia palustris",0,0
"1862","Phyllospadix torreyi",0,0
"1863","Phyllospadix",0,0
"1864","Phyllospadix scouleri",0,0
"1865","Phyllospadix torreyi",0,0
"1866","Zostera",0,0
"1867","Zostera marina",0,0
"1868","Zostera marina",0,0
"1869","Zostera pacifica",0,0
