"","resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"101","Cylindropuntia prolifera","Cactaceae","Cylindropuntia","prolifera","Cylindropuntia prolifera","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"102","Opuntia ficus-indica","Cactaceae","Opuntia","ficus-indica","Opuntia ficus-indica","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"103","Opuntia littoralis","Cactaceae","Opuntia","littoralis","Opuntia littoralis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"104","Lonicera hispidula","Caprifoliaceae","Lonicera","hispidula","Lonicera hispidula","determinate",0,1,0,"cluster","bilateral",0,1,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"105","Symphoricarpos mollis","Caprifoliaceae","Symphoricarpos","mollis","Symphoricarpos mollis","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"106","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum","Cerastium glomeratum","determinate",0,1,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"107","Minuartia douglasii","Caryophyllaceae","Minuartia","douglasii","Minuartia douglasii","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"108","Silene gallica","Caryophyllaceae","Silene","gallica","Silene gallica","determinate",0,1,0,"drepanium","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"109","Silene laciniata","Caryophyllaceae","Silene","laciniata","Silene laciniata ssp. laciniata","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"red",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"110","Stellaria media","Caryophyllaceae","Stellaria","media","Stellaria media","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"111","Atriplex lentiformis","Chenopodiaceae","Atriplex","lentiformis","Atriplex lentiformis",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"112","Beta vulgaris","Chenopodiaceae","Beta","vulgaris","Beta vulgaris subsp. maritima","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"113","Suaeda taxifolia","Chenopodiaceae","Suaeda","taxifolia","Suaeda taxifolia","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"114","Crocanthemum scoparium","Cistaceae","Crocanthemum","scoparium","Crocanthemum scoparium","determinate",0,1,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"115","Calystegia macrostegia","Convolvulaceae","Calystegia","macrostegia","Calystegia macrostegia subsp. macrostegia","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"116","Calystegia soldanella","Convolvulaceae","Calystegia","soldanella","Calystegia soldanella","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"117","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis","Convolvulus arvensis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"118","Cressa truxillensis","Convolvulaceae","Cressa","truxillensis","Cressa truxillensis","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"119","Cucurbita foetidissima","Cucurbitaceae","Cucurbita","foetidissima","Cucurbita foetidissima","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"120","Arbutus menziesii","Ericaceae","Arbutus","menziesii","Arbutus menziesii","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"121","Arctostaphylos insularis","Ericaceae","Arctostaphylos","insularis","Arctostaphylos insularis","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,NA
"122","Vaccinium ovatum","Ericaceae","Vaccinium","ovatum","Vaccinium ovatum","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"123","Croton setiger","Euphorbiaceae","Croton","setiger","Croton setiger","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"124","Euphorbia maculata","Euphorbiaceae","Euphorbia","maculata","Euphorbia maculata","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"125","Euphorbia misera","Euphorbiaceae","Euphorbia","misera","Euphorbia misera","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"red",0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,NA
"126","Euphorbia peplus","Euphorbiaceae","Euphorbia","peplus","Euphorbia peplus","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NA
"127","Acacia melanoxylon","Fabaceae","Acacia","melanoxylon","Acacia melanoxylon","compound",0,0,1,"racemose","radial",1,0,NA,0,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"128","Acmispon americanus","Fabaceae","Acmispon","americanus","Acmispon americanus var. americanus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"129","Acmispon brachycarpus","Fabaceae","Acmispon","brachycarpus","Acmispon brachycarpus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"130","Acmispon maritimus","Fabaceae","Acmispon","maritimus","Acmispon maritimus var. maritimus","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"131","Acmispon micranthus","Fabaceae","Acmispon","micranthus","Acmispon micranthus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"132","Acmispon strigosus","Fabaceae","Acmispon","strigosus","Acmispon strigosus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"133","Acmispon wrangelianus","Fabaceae","Acmispon","wrangelianus","Acmispon wrangelianus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"134","Astragalus miguelensis","Fabaceae","Astragalus","miguelensis","Astragalus miguelensis","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"135","Astragalus trichopodus","Fabaceae","Astragalus","trichopodus","Astragalus trichopodus var. lonchus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"136","Lathyrus vestitus","Fabaceae","Lathyrus","vestitus","Lathyrus vestitus var. vestitus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"137","Lotus corniculatus","Fabaceae","Lotus","corniculatus","Lotus corniculatus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"138","Lupinus arboreus","Fabaceae","Lupinus","arboreus","Lupinus arboreus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"139","Lupinus bicolor","Fabaceae","Lupinus","bicolor","Lupinus bicolor","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"140","Lupinus concinnus","Fabaceae","Lupinus","concinnus","Lupinus concinnus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"141","Lupinus hirsutissimus","Fabaceae","Lupinus","hirsutissimus","Lupinus hirsutissimus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"142","Lupinus microcarpus","Fabaceae","Lupinus","microcarpus","Lupinus microcarpus var. microcarpus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"143","Lupinus succulentus","Fabaceae","Lupinus","succulentus","Lupinus succulentus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"144","Lupinus truncatus","Fabaceae","Lupinus","truncatus","Lupinus truncatus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"145","Medicago polymorpha","Fabaceae","Medicago","polymorpha","Medicago polymorpha","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"146","Medicago sativa","Fabaceae","Medicago","sativa","Medicago sativa","indeterminate",1,0,0,"racemose","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"147","Melilotus albus","Fabaceae","Melilotus","albus","Melilotus albus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"148","Melilotus indicus","Fabaceae","Melilotus","indicus","Melilotus indicus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"149","Pickeringia montana","Fabaceae","Pickeringia","montana","Pickeringia montana var. montana","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"150","Pisum sativum","Fabaceae","Pisum","sativum","Pisum sativum","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"151","Robinia pseudoacacia","Fabaceae","Robinia","pseudoacacia","Robinia pseudoacacia","determinate",0,1,0,"botryoid","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"152","Spartium junceum","Fabaceae","Spartium","junceum","Spartium junceum","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"153","Trifolium depauperatum","Fabaceae","Trifolium","depauperatum","Trifolium depauperatum var. truncatum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"154","Trifolium fucatum","Fabaceae","Trifolium","fucatum","Trifolium fucatum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"155","Trifolium microcephalum","Fabaceae","Trifolium","microcephalum","Trifolium microcephalum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"156","Trifolium variegatum","Fabaceae","Trifolium","variegatum","Trifolium variegatum var. major","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"157","Trifolium willdenovii","Fabaceae","Trifolium","willdenovii","Trifolium willdenovii","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"158","Vicia americana","Fabaceae","Vicia","americana","Vicia americana subsp. americana","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"159","Vicia benghalensis","Fabaceae","Vicia","benghalensis","Vicia benghalensis","determinate",0,1,0,"drepanium","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"160","Vicia ludoviciana","Fabaceae","Vicia","ludoviciana","Vicia ludoviciana subsp. ludoviciana","determinate",0,1,0,"cyme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"161","Vicia sativa","Fabaceae","Vicia","sativa","Vicia sativa subsp. sativa","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"162","Quercus agrifolia","Fagaceae","Quercus","agrifolia","Quercus agrifolia var. agrifolia",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"163","Quercus kelloggii","Fagaceae","Quercus","kelloggii","Quercus kelloggii",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"164","Quercus lobata","Fagaceae","Quercus","lobata","Quercus lobata",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"165","Frankenia salina","Frankeniaceae","Frankenia","salina","Frankenia salina","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"166","Zeltnera davyi","Gentianaceae","Zeltnera","davyi","Zeltnera davyi","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"167","Erodium botrys","Geraniaceae","Erodium","botrys","Erodium botrys","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"168","Erodium brachycarpum","Geraniaceae","Erodium","brachycarpum","Erodium brachycarpum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"169","Erodium cicutarium","Geraniaceae","Erodium","cicutarium","Erodium cicutarium","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"170","Erodium moschatum","Geraniaceae","Erodium","moschatum","Erodium moschatum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"171","Geranium carolinianum","Geraniaceae","Geranium","carolinianum","Geranium carolinianum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"172","Geranium dissectum","Geraniaceae","Geranium","dissectum","Geranium dissectum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"173","Geranium molle","Geraniaceae","Geranium","molle","Geranium molle","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"174","Ribes malvaceum","Grossulariaceae","Ribes","malvaceum","Ribes malvaceum var. malvaceum","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,NA
"175","Heliotropium curassavicum","Heliotropiaceae","Heliotropium","curassavicum","Heliotropium curassavicum var. oculatum","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"176","Phacelia cicutaria","Hydrophyllaceae","Phacelia","cicutaria","Phacelia cicutaria var. hispida","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"177","Phacelia distans","Hydrophyllaceae","Phacelia","distans","Phacelia distans","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,NA
"178","Phacelia ramosissima","Hydrophyllaceae","Phacelia","ramosissima","Phacelia ramosissima","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"179","Phacelia viscida","Hydrophyllaceae","Phacelia","viscida","Phacelia viscida var. viscida","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"180","Pholistoma auritum","Hydrophyllaceae","Pholistoma","auritum","Pholistoma auritum var. auritum","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"181","Clinopodium douglasii","Lamiaceae","Clinopodium","douglasii","Clinopodium douglasii","determinate",0,1,0,"solitary","bilateral",0,1,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"182","Lamium amplexicaule","Lamiaceae","Lamium","amplexicaule","Lamium amplexicaule","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"183","Marrubium vulgare","Lamiaceae","Marrubium","vulgare","Marrubium vulgare","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"184","Mentha spicata","Lamiaceae","Mentha","spicata","Mentha spicata","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"185","Salvia columbariae","Lamiaceae","Salvia","columbariae","Salvia columbariae","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"186","Salvia leucophylla","Lamiaceae","Salvia","leucophylla","Salvia leucophylla","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"187","Salvia mellifera","Lamiaceae","Salvia","mellifera","Salvia mellifera","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"188","Stachys bullata","Lamiaceae","Stachys","bullata","Stachys bullata","determinate",0,1,0,"fascicle","bilateral",0,1,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"189","Mentzelia affinis","Loasaceae","Mentzelia","affinis","Mentzelia affinis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"190","Lythrum californicum","Lythraceae","Lythrum","californicum","Lythrum californicum","determinate",0,1,0,"fascicle","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"191","Malacothamnus fasciculatus","Malvaceae","Malacothamnus","fasciculatus","Malacothamnus fasciculatus var. nesioticus","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"192","Malva assurgentiflora","Malvaceae","Malva","assurgentiflora","Malva assurgentiflora ssp. assurgentiflora","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"193","Malva parviflora","Malvaceae","Malva","parviflora","Malva parviflora","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"194","Sidalcea malviflora","Malvaceae","Sidalcea","malviflora","Sidalcea malviflora subsp. malviflora","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"195","Calandrinia menziesii","Montiaceae","Calandrinia","menziesii","Calandrinia menziesii","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"196","Montia fontana","Montiaceae","Montia","fontana","Montia fontana","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"197","Ficus carica","Moraceae","Ficus","carica","Ficus carica","compound",0,0,1,"head","radial",1,0,NA,0,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"198","Lysimachia arvensis","Myrsinaceae","Lysimachia","arvensis","Lysimachia arvensis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"orange",0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,NA
"199","Eucalyptus camaldulensis","Myrtaceae","Eucalyptus","camaldulensis","Eucalyptus camaldulensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"200","Eucalyptus globulus","Myrtaceae","Eucalyptus","globulus","Eucalyptus globulus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,NA
"201","Eucalyptus tereticornis","Myrtaceae","Eucalyptus","tereticornis","Eucalyptus tereticornis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
